hhid14,n_members,n_adults,n_outmig_adults,amount_given_total,amount_received_total,log_received_total,ethnic_modal,ethnic_share_modal,has_minang,has_batak,has_java,nelm_d1_deployment,nelm_d2_remittance,non_nuclear_adults,nelm_d3_extended_ratio,expenditure_total_monthly,log_exp_monthly,expenditure_pcm,log_exp_pcm,urban_rural,prov_bps,kab_bps,urban,subethnic_modal
0030100,10,9,1,150000.0,100000.0,11.51293546492023,4.0,1.0,False,True,False,0.1111111111111111,11.51293546492023,7,0.7,1523888.3333333333,14.236776396669056,152388.8333333333,11.934197209598246,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0030151,3,2,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,0,0.0,2291575.0,14.644750348429774,763858.3333333334,13.546138932523084,2.0,12.0,7.0,0,Diaspora-Muslim-Batak
0030152,3,1,1,0.0,0.0,0.0,4.0,1.0,False,True,False,1.0,0.0,0,0.0,1333885.0,14.10360704453466,444628.3333333333,13.004996255243936,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0030153,2,1,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,0,0.0,1104976.6666666667,13.915335681568354,552488.3333333334,13.222189406003666,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0030241,4,4,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,2,0.5,,,,,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0030251,2,0,0,0.0,0.0,0.0,4.0,1.0,False,True,False,,0.0,0,0.0,1595210.0,14.282516573852996,797605.0,13.589370020169174,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0030300,11,7,0,0.0,300000.0,12.611541086966117,4.0,1.0,False,True,False,0.0,12.611541086966117,5,0.4545454545454545,1191553.3333333333,13.990769175264576,108323.03030303027,11.592882294830495,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0030312,6,3,1,0.0,310000.0,12.644330802262578,4.0,1.0,False,True,False,0.3333333333333333,12.644330802262578,1,0.1666666666666666,3551891.6666666665,15.082991164919916,591981.9444444444,13.291233103391065,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0030342,2,1,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,0,0.0,3637126.6666666665,15.106704825543508,1818563.3333333333,14.413557919925758,2.0,12.0,20.0,0,Diaspora-Muslim-Batak
0030400,9,7,0,20000.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,5,0.5555555555555556,2569656.6666666665,14.759283244367364,285517.4074074074,12.562061780281462,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0030451,2,1,0,0.0,2500000.0,14.731801689838347,4.0,1.0,False,True,False,0.0,14.731801689838347,0,0.0,1587646.6666666667,14.277764023795749,793823.3333333334,13.584617473098271,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0030500,11,10,1,450000.0,550000.0,13.21767537538882,4.0,1.0,False,True,False,0.1,13.21767537538882,8,0.7272727272727273,3155360.0,14.964613468964894,286850.9090909091,12.566721365370984,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0030541,4,1,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,0,0.0,3589351.6666666665,15.093482428513896,897337.9166666666,13.70718890319896,2.0,12.0,3.0,0,Diaspora-Muslim-Batak
0030551,5,1,0,0.0,500000.0,13.122365377402328,4.0,1.0,False,True,False,0.0,13.122365377402328,0,0.0,2705858.333333333,14.81093010311459,541171.6666666667,13.201493668952844,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0030552,2,1,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,0,0.0,1534118.3333333333,14.24346705014791,767059.1666666666,13.550320521427526,1.0,12.0,77.0,1,Diaspora-Muslim-Batak
0030700,5,4,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,2,0.4,759571.6666666666,13.540511273421684,151914.3333333333,11.93107862709265,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0030800,9,8,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,6,0.6666666666666666,805771.6666666666,13.59955693042277,89530.18518518518,11.402342281395883,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0030900,19,17,0,3000000.0,0.0,0.0,4.0,0.8823529411764706,False,True,True,0.0,0.0,15,0.7894736842105263,2404895.0,14.69301721734374,126573.42105263156,11.748585722880437,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0030941,4,2,1,0.0,0.0,0.0,4.0,1.0,False,True,False,0.5,0.0,0,0.0,8259013.333333333,15.926815808271837,2064753.3333333333,14.540521810391349,2.0,12.0,4.0,0,Diaspora-Muslim-Batak
0030951,5,2,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,0,0.0,4547201.666666667,15.33002280332622,909440.3333333334,13.720585770553429,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0031000,6,5,0,0.0,300000.0,12.611541086966117,4.0,1.0,False,True,False,0.0,12.611541086966117,3,0.5,1691095.0,14.340887397410633,281849.1666666667,12.549130884840633,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0031041,4,1,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,0,0.0,2675480.0,14.79963973523192,668870.0,13.413346495405106,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0031042,1,1,0,80000.0,380000.0,12.847929163278051,4.0,1.0,False,True,False,0.0,12.847929163278051,0,0.0,1060600.0,13.874346286547253,1060600.0,13.874346286547253,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0031100,6,5,1,0.0,0.0,0.0,4.0,1.0,False,True,False,0.2,0.0,3,0.5,1477391.6666666667,14.20578938038953,246231.94444444447,12.41403329549636,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0031151,3,1,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,0,0.0,1347240.0,14.113569355498797,449080.0,13.014958551344977,2.0,12.0,20.0,0,Diaspora-Muslim-Batak
0031200,9,6,0,500000.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,4,0.4444444444444444,2889461.6666666665,14.876581114312728,321051.2962962963,12.679359305653543,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0031211,5,2,0,30000.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,0,0.0,2659408.333333333,14.793614600962146,531881.6666666667,13.184178192620305,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0031300,8,7,2,0.0,150000.0,11.918397239722838,4.0,1.0,False,True,False,0.2857142857142857,11.918397239722838,5,0.625,2014101.6666666667,14.515684327459237,251762.7083333333,12.4362462612665,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0031341,5,3,1,300000.0,0.0,0.0,4.0,1.0,False,True,False,0.3333333333333333,0.0,1,0.2,2430960.0,14.703797210388824,486192.0,13.09436094339318,1.0,12.0,75.0,1,Diaspora-Muslim-Batak
0031400,14,11,1,0.0,100000.0,11.51293546492023,4.0,1.0,False,True,False,0.0909090909090909,11.51293546492023,9,0.6428571428571429,2081723.3333333333,14.548707114651735,148694.52380952382,11.90965602983998,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0031431,5,1,1,0.0,0.0,0.0,4.0,0.8,False,True,False,1.0,0.0,0,0.0,1215115.0,14.010350103450534,243023.0,12.4009154828778,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0031500,9,6,1,0.0,350000.0,12.765691290604371,4.0,1.0,False,True,False,0.1666666666666666,12.765691290604371,4,0.4444444444444444,2839826.6666666665,14.859253927545064,315536.2962962963,12.662032167277228,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0031551,2,1,1,0.0,0.0,0.0,4.0,1.0,False,True,False,1.0,0.0,0,0.0,3117653.333333333,14.95259146079079,1558826.6666666667,14.259444600984764,1.0,12.0,77.0,1,Diaspora-Muslim-Batak
0031700,6,6,3,0.0,0.0,0.0,4.0,1.0,False,True,False,0.5,0.0,4,0.6666666666666666,1483660.0,14.210023239956154,247276.66666666663,12.4182671407645,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0031731,3,1,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,0,0.0,2493426.6666666665,14.729168894791451,831142.2222222221,13.630557408231711,2.0,12.0,77.0,0,Diaspora-Muslim-Batak
0031741,3,1,0,0.0,0.0,0.0,4.0,1.0,False,True,False,0.0,0.0,0,0.0,3336293.333333333,15.020371267985256,1112097.7777777778,13.921759578784458,1.0,12.0,75.0,1,Diaspora-Muslim-Batak
