method,k,silhouette,calinski_harabasz,inertia
kmeans,2,0.45516712759775807,4279.591587403599,13908.455877825656
kmeans,3,0.5458075547206709,6960.014868882199,7600.34407408195
kmeans,4,0.5911539959197655,9159.33737749377,4640.048937343985
kmeans,5,0.6277449351631538,12002.897581920963,2918.2773327810833
kmeans,6,0.6269808356802701,11533.122135908106,2484.548419777426
ward,2,0.4488284856838111,4210.707878144415,
ward,3,0.5414311114260427,6750.041573433488,
ward,4,0.580320864229588,8185.602789109197,
ward,5,0.5674568388632094,9625.262753423933,
ward,6,0.5727430462716036,9323.174794701657,
