hhid14,pidlink,ar02b,ar07,ar09,ar15,ar15d,ar16,ar17,out_migrated,mg01c,kab_bps,prov_bps,urban_rural,amount_given,amount_received,log_amount_received,out_mig_bin,is_male,is_female,male_outmig,female_outmig,ethnic_label
0030100,003010001,1.0,1.0,66.0,1.0,4.0,2.0,98.0,0.0,77.0,77.0,12.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Batak
0030100,003010002,2.0,3.0,55.0,1.0,4.0,2.0,3.0,0.0,,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0030100,003010004,3.0,3.0,36.0,1.0,4.0,2.0,7.0,0.0,,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0030100,003010005,3.0,3.0,31.0,1.0,4.0,5.0,7.0,1.0,77.0,7.0,12.0,2.0,0.0,0.0,0.0,True,False,True,False,True,Batak
0030100,003010007,3.0,3.0,26.0,1.0,4.0,5.0,2.0,0.0,,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0030100,003010008,3.0,3.0,23.0,1.0,4.0,5.0,7.0,0.0,,77.0,12.0,2.0,150000.0,100000.0,11.51293546492023,False,False,True,False,False,Batak
0030100,003010009,3.0,1.0,19.0,1.0,4.0,5.0,7.0,0.0,77.0,77.0,12.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Batak
0030141,003014101,1.0,1.0,39.0,1.0,1.0,5.0,7.0,0.0,,77.0,12.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Java
0030151,003015102,1.0,1.0,28.0,1.0,4.0,73.0,7.0,0.0,7.0,7.0,12.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Batak
0030152,003015202,1.0,1.0,27.0,1.0,4.0,98.0,98.0,1.0,2.0,77.0,12.0,2.0,0.0,0.0,0.0,True,True,False,True,False,Batak
0030153,003015301,1.0,1.0,23.0,1.0,4.0,2.0,7.0,0.0,77.0,77.0,12.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Batak
0030200,003020001,1.0,1.0,47.0,1.0,1.0,2.0,2.0,0.0,,77.0,12.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Java
0030200,003020002,2.0,3.0,49.0,1.0,4.0,2.0,2.0,0.0,77.0,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Java
0030200,003020003,3.0,1.0,29.0,1.0,1.0,6.0,7.0,0.0,77.0,77.0,12.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Java
0030200,003020004,3.0,1.0,27.0,1.0,1.0,3.0,0.0,0.0,77.0,77.0,12.0,2.0,50000.0,0.0,0.0,False,True,False,False,False,Java
0030200,003020005,3.0,3.0,23.0,1.0,1.0,6.0,7.0,0.0,,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Java
0030200,003020006,3.0,1.0,22.0,1.0,1.0,6.0,2.0,0.0,77.0,77.0,12.0,2.0,20000.0,0.0,0.0,False,True,False,False,False,Java
0030200,003020007,3.0,1.0,20.0,1.0,1.0,3.0,7.0,0.0,77.0,77.0,12.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Java
0030200,003020008,3.0,1.0,19.0,1.0,1.0,3.0,2.0,0.0,77.0,77.0,12.0,2.0,50000.0,0.0,0.0,False,True,False,False,False,Java
0030300,003030003,1.0,1.0,40.0,1.0,4.0,5.0,7.0,0.0,,77.0,12.0,2.0,0.0,300000.0,12.611541086966117,False,True,False,False,False,Batak
0030300,003030005,8.0,3.0,37.0,1.0,4.0,5.0,2.0,0.0,,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0030300,003030007,2.0,3.0,40.0,1.0,4.0,5.0,7.0,0.0,,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0030300,003030008,3.0,1.0,15.0,1.0,4.0,6.0,0.0,0.0,77.0,77.0,12.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Batak
0030312,003031204,3.0,1.0,17.0,1.0,4.0,74.0,2.0,1.0,7.0,20.0,12.0,2.0,0.0,310000.0,12.644330802262578,True,True,False,True,False,Batak
0030400,003040001,1.0,1.0,47.0,1.0,4.0,2.0,7.0,0.0,77.0,77.0,12.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Batak
0030400,003040002,2.0,3.0,44.0,1.0,4.0,2.0,7.0,0.0,,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0030400,003040003,3.0,3.0,24.0,1.0,4.0,6.0,7.0,0.0,,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0030400,003040004,3.0,3.0,22.0,1.0,4.0,61.0,4.0,0.0,,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0030400,003040005,3.0,3.0,19.0,1.0,4.0,5.0,7.0,0.0,77.0,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0030400,003040006,3.0,3.0,17.0,1.0,4.0,5.0,2.0,0.0,77.0,77.0,12.0,2.0,20000.0,0.0,0.0,False,False,True,False,False,Batak
0030400,003040007,3.0,3.0,15.0,1.0,4.0,5.0,0.0,0.0,77.0,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0030451,003045101,1.0,1.0,27.0,1.0,4.0,3.0,7.0,0.0,77.0,77.0,12.0,2.0,0.0,2500000.0,14.731801689838347,False,True,False,False,False,Batak
0030500,003050001,1.0,1.0,77.0,1.0,4.0,61.0,1.0,0.0,,77.0,12.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Batak
0030500,003050002,2.0,3.0,63.0,1.0,4.0,2.0,7.0,0.0,,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0030500,003050003,3.0,3.0,39.0,1.0,4.0,5.0,7.0,0.0,77.0,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0030500,003050004,3.0,3.0,35.0,1.0,4.0,5.0,7.0,0.0,,3.0,12.0,2.0,200000.0,0.0,0.0,False,False,True,False,False,Batak
0030500,003050005,3.0,1.0,33.0,1.0,4.0,6.0,7.0,0.0,,77.0,12.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Batak
0030500,003050006,3.0,1.0,30.0,1.0,4.0,5.0,7.0,0.0,,77.0,12.0,1.0,0.0,0.0,0.0,False,True,False,False,False,Batak
0030500,003050007,3.0,3.0,26.0,1.0,4.0,5.0,7.0,0.0,,77.0,12.0,2.0,100000.0,550000.0,13.21767537538882,False,False,True,False,False,Batak
0030500,003050008,3.0,3.0,24.0,1.0,4.0,5.0,7.0,0.0,,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0030500,003050009,3.0,3.0,18.0,1.0,4.0,5.0,7.0,1.0,98.0,72.0,31.0,1.0,50000.0,0.0,0.0,True,False,True,False,True,Batak
0030500,003050010,5.0,1.0,26.0,1.0,4.0,5.0,7.0,0.0,77.0,77.0,12.0,2.0,100000.0,0.0,0.0,False,True,False,False,False,Batak
0030541,003054101,1.0,1.0,39.0,1.0,4.0,5.0,7.0,0.0,,3.0,12.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Batak
0030551,003055101,1.0,1.0,42.0,1.0,4.0,3.0,7.0,0.0,77.0,77.0,12.0,2.0,0.0,500000.0,13.122365377402328,False,True,False,False,False,Batak
0030552,003055202,2.0,3.0,30.0,1.0,4.0,5.0,7.0,0.0,77.0,77.0,12.0,1.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0030700,003070002,1.0,3.0,51.0,1.0,4.0,74.0,7.0,0.0,,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0030700,003070005,6.0,3.0,94.0,1.0,4.0,2.0,7.0,0.0,77.0,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0030800,003080002,1.0,3.0,52.0,1.0,4.0,2.0,4.0,0.0,,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0030800,003080006,3.0,1.0,27.0,1.0,4.0,3.0,1.0,0.0,77.0,77.0,12.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Batak
0030800,003080009,3.0,1.0,18.0,1.0,4.0,5.0,1.0,0.0,77.0,77.0,12.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Batak
0030900,003090002,1.0,3.0,61.0,1.0,4.0,5.0,7.0,0.0,,77.0,12.0,2.0,1000000.0,0.0,0.0,False,False,True,False,False,Batak
0030900,003090005,3.0,1.0,34.0,1.0,4.0,5.0,7.0,0.0,77.0,77.0,12.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Batak
0030900,003090006,3.0,3.0,30.0,1.0,4.0,61.0,7.0,0.0,,4.0,12.0,2.0,2000000.0,0.0,0.0,False,False,True,False,False,Batak
0030900,003090008,17.0,1.0,43.0,1.0,4.0,5.0,7.0,0.0,,77.0,12.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Batak
0030900,003090019,13.0,3.0,19.0,1.0,1.0,5.0,7.0,0.0,77.0,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0030941,003094102,1.0,1.0,32.0,1.0,4.0,6.0,7.0,1.0,77.0,4.0,12.0,2.0,0.0,0.0,0.0,True,True,False,True,False,Batak
0031000,003100002,1.0,3.0,69.0,1.0,4.0,2.0,3.0,0.0,77.0,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0031000,003100003,3.0,3.0,40.0,1.0,4.0,5.0,7.0,0.0,,77.0,12.0,2.0,0.0,300000.0,12.611541086966117,False,False,True,False,False,Batak
0031000,003100004,3.0,1.0,43.0,1.0,4.0,5.0,7.0,0.0,,77.0,12.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Batak
0031000,003100005,3.0,3.0,35.0,1.0,4.0,3.0,7.0,0.0,77.0,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0031000,003100006,5.0,3.0,43.0,1.0,4.0,74.0,7.0,0.0,,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0031041,003104103,3.0,1.0,19.0,1.0,4.0,6.0,2.0,0.0,77.0,77.0,12.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Batak
0031042,003104201,1.0,1.0,36.0,1.0,4.0,6.0,7.0,0.0,,77.0,12.0,2.0,80000.0,380000.0,12.847929163278051,False,True,False,False,False,Batak
0031100,003110001,1.0,1.0,45.0,1.0,4.0,2.0,3.0,0.0,77.0,77.0,12.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Batak
0031100,003110002,2.0,3.0,48.0,1.0,4.0,2.0,3.0,0.0,,77.0,12.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Batak
0031100,003110003,3.0,3.0,26.0,1.0,4.0,5.0,7.0,1.0,77.0,20.0,12.0,2.0,0.0,0.0,0.0,True,False,True,False,True,Batak
