hhid14,ethnic_label,n_adults,n_outmig_adults,nelm_d1_deployment,n_adults_in_ind,n_outmig_in_ind,n_male_out,n_female_out,D1_male,D1_female,D1_total_computed
0030100,Batak,9,1,0.1111111111111111,9.0,1.0,0.0,1.0,0.0,0.1111111111111111,0.1111111111111111
0030141,Java,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0030151,Batak,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0030152,Batak,1,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
0030153,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0030200,Java,9,0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
0030241,Batak,4,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0030251,Batak,0,0,,,,0.0,0.0,,,
0030300,Batak,7,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0030312,Batak,3,1,0.3333333333333333,3.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333
0030342,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0030400,Batak,7,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0030451,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0030500,Batak,10,1,0.1,10.0,1.0,0.0,1.0,0.0,0.1,0.1
0030541,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0030551,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0030552,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0030700,Batak,4,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0030800,Batak,8,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0030900,Batak,17,0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
0030941,Batak,2,1,0.5,2.0,1.0,1.0,0.0,0.5,0.0,0.5
0030951,Batak,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0031000,Batak,5,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0031041,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0031042,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0031100,Batak,5,1,0.2,5.0,1.0,0.0,1.0,0.0,0.2,0.2
0031151,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0031200,Batak,6,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0031211,Batak,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0031241,Java,4,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0031300,Batak,7,2,0.2857142857142857,7.0,2.0,2.0,0.0,0.2857142857142857,0.0,0.2857142857142857
0031341,Batak,3,1,0.3333333333333333,3.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333
0031400,Batak,11,1,0.0909090909090909,11.0,1.0,0.0,1.0,0.0,0.09090909090909091,0.09090909090909091
0031431,Batak,1,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
0031500,Batak,6,1,0.1666666666666666,6.0,1.0,0.0,1.0,0.0,0.16666666666666666,0.16666666666666666
0031551,Batak,1,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
0031700,Batak,6,3,0.5,6.0,3.0,1.0,2.0,0.16666666666666666,0.3333333333333333,0.5
0031731,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0031741,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0031751,Batak,0,0,,,,0.0,0.0,,,
0031752,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0031800,Batak,6,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0031831,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0031841,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0031842,Batak,1,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
0031851,Batak,1,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
0031900,Batak,5,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0031911,Batak,2,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0031931,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0031941,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0031954,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0032000,Batak,8,1,0.125,8.0,1.0,1.0,0.0,0.125,0.0,0.125
0032031,Java,3,1,0.3333333333333333,3.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333
0032051,Batak,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
